stream,verdict,fortran_instructions,nanoclo_instructions,official_instructions,fortran_over_nanoclo,fortran_over_official,fortran_peak_rss_kib,nanoclo_peak_rss_kib,official_peak_rss_kib,sha256
good/tutorial/029_defEqLambda.ndjson,accept,1735738,935480,162110252,1.855451746696883,0.010707145159456047,18132,37460,66116,7a28d11e2a035c2d0d97c75d5cb0bb12e16be1c5502b9975aa08775e1928ba92
good/tutorial/030_peano1.ndjson,accept,2745522,1151789,163194811,2.3837022232370684,0.01682358638229006,18064,35380,65416,fe92f67341850f0c222c43cd99e9f17904cdb003654f394890f49df431ceaf7d
good/tutorial/031_peano2.ndjson,accept,3320670,1351051,163764681,2.4578420799806966,0.020277082822272283,18052,37444,66148,63c8aec3c8457d2f4e76476b1d503647fb58d998b0dc2176cacc5efd814586e0
good/tutorial/032_peano3.ndjson,accept,3900199,1602855,164097732,2.433282486563039,0.02376753750624658,18064,39544,65384,e731f91828d3bb6186205233ba8ba94dd54bdf21e7b9a06e020f789be70ad55d
good/tutorial/033_letType.ndjson,accept,1423687,855055,161743082,1.6650238873522756,0.008802150808527316,18096,38196,66192,1222e60968ee37505bbb4952811a9645af2307f2a85e7f3d2d6fa2a7f1d5e667
good/tutorial/034_letTypeDep.ndjson,accept,1775483,923454,162044176,1.9226545122983927,0.010956783784688442,18172,35432,66156,eca16eea9573a481f232edfd0ff84a02ae208c1f379d967a56aec75f86fc7ca1
good/tutorial/035_letRed.ndjson,accept,1543253,869604,161801678,1.7746618000837162,0.009537929513932482,17932,35460,66172,b3d5e6f1f6e45721973e4e7167fbe0a92abbdcd69f039112eac70ab25c028acc
good/tutorial/036_empty.ndjson,accept,1777047,988636,162046410,1.797473488725881,0.010966284288556593,18052,43620,65420,030852937308e66cb90de3b8de7cd336f3d825e81c87c5be5cc1fe33c6d54356
good/tutorial/037_boolType.ndjson,accept,2135273,1115227,162546574,1.9146532499661504,0.013136376531688696,18020,43608,66104,02053d077abf5a63594d1025f9ef2f90dfff65f331503aa3b7486bbbb997b3e8
good/tutorial/038_twoBool.ndjson,accept,2736855,1351274,163374555,2.0253886332453668,0.01675202726642469,18104,42312,66180,91a1f7379e22ebbec710ce6b43b7e0750be258ace8fc22d0b889fb76b57010de
good/tutorial/039_andType.ndjson,accept,2931805,1333808,163081997,2.1980712366397563,0.017977490182438716,18096,44340,66876,d81009480e131d451da9e625fe9a90fff92fbee08d324aefd6fde3c3b89979e1
good/tutorial/040_prodType.ndjson,accept,3245017,1440130,163367147,2.253280606611903,0.01986333886335176,18040,43624,66116,a74e83890dce34014ef7dc8f1f6e7baf56d481df2a776d886462c789c529741d
good/tutorial/041_pprodType.ndjson,accept,3243675,1416742,163360306,2.289531191988379,0.019855955705665732,18136,45636,66176,9f2f275784ba923bc3a050c5f1856ad0d18c83d31ff107a5cd663d4cceaec98a
good/tutorial/042_pUnitType.ndjson,accept,2021647,1055557,162330953,1.915241905458445,0.012453860232065538,18108,43620,66180,acc7a70c97888e02e2b92e583b370803db0bdac1ddc38f9ff036831459d3a891
good/tutorial/043_eqType.ndjson,accept,3021004,1375572,163116854,2.1961802072156167,0.018520489611698863,18088,43680,66424,d45ed54cc74be3d7d92aae6bacc040420ba33f23fa034b4497edb389e089afdc
good/tutorial/044_natDef.ndjson,accept,2756479,1275454,163005703,2.1611747660048892,0.016910322456632085,17936,41588,66088,95d33f871f126e234740e05d9291a1cedcc6a2d01522aedc3122b25aab17ab95
good/tutorial/045_rbTreeDef.ndjson,accept,11475107,3974652,170180127,2.8870721260628605,0.06742918343221121,17992,49828,66128,d9781f44fcb7e46ff06da1c8a273a4fec4ae989e4114d6668720bd5b87c20b79
good/tutorial/055_reduceCtorParam.mk.ndjson,accept,3497726,1454137,163516263,2.4053620807392977,0.021390691884879978,18012,39540,66960,16d146c5ef39743b6a95f21043a43b890e22d72792fd9436e37396765124a7a2
good/tutorial/058_predWithTypeField.ndjson,accept,2119108,1081629,162408766,1.9591819376144686,0.013047990279046883,18048,43628,66116,5af1ed8df583ce1857bc0852679e04f6024b8de4f1eb2ceba91cc7ed5b6ecb6c
good/tutorial/059_typeWithTypeField.ndjson,accept,2167386,1099320,162449005,1.9715696976312629,0.013341946908200515,18120,45716,66128,5c2c36c26f88438688db304bc33d039eb8ce78522e6d3fa53e54a2ae1b14426c
good/tutorial/060_typeWithTypeFieldPoly.ndjson,accept,2159017,1106720,162506329,1.9508249602428798,0.013285741012585424,18084,44412,66120,a1bb69e5739372ba607b2ed8766cda7373c71a4286788e87ccb07c0749c257be
good/tutorial/062_emptyRec.ndjson,accept,1844889,1028366,162082057,1.7940003850769084,0.011382438217698581,18156,43640,66092,13190ea3d49b78a7ab755381e7867862262bae35f54c9f8e9f588b495957d7ff
good/tutorial/063_boolRec.ndjson,accept,2420554,1212599,162891849,1.996170209607628,0.01485988411857244,18176,39480,66092,2e760d8bfe1ccbb4e0d5139bb26ad0fed2fab02ea7612a2b246fec201f58d4a1
good/tutorial/064_twoBoolRec.ndjson,accept,2970112,1449939,163691062,2.0484392791696755,0.01814461928287813,18008,47756,66180,db0e10d735a9a2438ee353c095f8b0d53847d78e5910adee5218925048c8e2e6
good/tutorial/065_andRec.ndjson,accept,3143112,1413890,163169747,2.223024421984737,0.019262835530412387,18108,39524,65400,0cbe7714825cbf646d860e051ab8744174230b6d8c65120bee8683927926c02c
good/tutorial/066_prodRec.ndjson,accept,3553708,1476370,163531453,2.407057851351626,0.021731036658739895,18032,43572,66180,0b53e85fe97b23530b00b05ba89c1c860bf4519a0ef41f314e84114dd5df2cea
good/tutorial/067_pprodRec.ndjson,accept,3558746,1526925,163521098,2.3306619513073663,0.02176322226016364,17964,42364,66152,894d4388fcf6a58cad8c4047493abde7edbfd04facb8aeffbbc9673604a2e13e
good/tutorial/068_punitRec.ndjson,accept,2203796,1099120,162496619,2.0050549530533517,0.013562103713677883,18112,45704,66176,331c4d8a6de6accecf264219290e102544368dffd5eec64e3587716e3b4880ea
good/tutorial/069_eqRec.ndjson,accept,3238875,1445109,163225804,2.2412669217339314,0.019842910377087193,18116,41556,66148,693007cd24f0763cc6c7776840bdc05539645a0e35897af2688bde984f2551e2
good/tutorial/070_nRec.ndjson,accept,2901465,1359494,163063330,2.1342242040053137,0.017793485512653275,17964,44336,66140,2cd9396449787ce0aec6ed6348b9a0c1eeb21262b72181e3872cf19ed7c67a45
good/tutorial/071_rbTreeRef.ndjson,accept,12461853,4393446,170782426,2.8364643607773945,0.07296917658260692,18032,49804,66160,d3695868bbbea387aacddf4af324f467fc36c606051415308aa8e0d03f6c650c
good/tutorial/072_boolPropRec.ndjson,accept,2172707,1157117,162551487,1.8776899829490017,0.013366269605395859,18020,43612,66180,25b41ff38e681eab9d6bc8f0bc7565378d8a54bc5b135ef3bf95d80eccea5b04
good/tutorial/074_existsRec.ndjson,accept,3454662,1507650,163443570,2.2914217490796935,0.02113672627194817,18096,42308,66176,f50c9cc865f06f98bcbf39a55d6e149e9ee0a87f374b686f0d734dab6b9d22b8
good/tutorial/075_typeSingletonRecReduction.ndjson,accept,4608211,1845373,165176410,2.4971704907354773,0.027898723552594467,18016,47732,66088,7407a2ceb9d10d9ea28583eaa808b54b3f4fdd2c5cc8d5568424e32f27571d65
good/tutorial/076_sortElimPropRec.ndjson,accept,4013283,1768547,164296820,2.2692543653066615,0.02442702786335122,17272,47720,66180,36ee61d2cc67052078e756bc7457b5cfaaebd85da1a96c232946e183a479a522
good/tutorial/077_sortElimProp2Rec.ndjson,accept,4553275,1854122,164770335,2.4557580353396378,0.02763407017410021,18052,45668,66184,a70294fd3579d1cc5dabaa0a47579820a6e6dbd83e165e9f60362112abf2ebbe
good/tutorial/078_boolRecEqns.ndjson,accept,5918184,2229534,166853661,2.654448866893261,0.03546930864166055,18076,49840,66156,77cb6eab3518ba916595ef8e1a58daaad404e25a293a409b01fa18d5252fc814
good/tutorial/079_prodRecEqns.ndjson,accept,10578447,2175785,166648993,4.861899038737743,0.06347741327185817,18052,43596,66884,8c723172049fcdb9db3668bdb5035ee9dfe9dfc7c2eb42163de44748194d4097
good/tutorial/080_nRecReduction.ndjson,accept,7045941,2509146,167819479,2.8081032351246202,0.04198523938928448,17988,45696,66112,1d780f803e22a66fee03182961e37aac1525a3d5766d0193a287da3096b3b648
good/tutorial/081_listRecReduction.ndjson,accept,10458602,3477147,170892565,3.007811288967651,0.061199865541253944,18024,51856,66116,a0849feb4092ce8e4ccea78a8cd60abd87b0c52a2296561ea534b0d4262b0a53
good/tutorial/082_RBTree.id_spec.ndjson,accept,31567620,9181478,188237471,3.4381850068148068,0.1677010418398577,18064,51868,66184,064e14578ae7d66ba118a532ca4ab4e5b484293e3d417fd2eae6fa5ad14ef67f
good/tutorial/083_And.right.ndjson,accept,3295599,1432820,163608474,2.3000788654541395,0.020143204807350015,18028,46464,66868,efa843e3b8cc007a0933fd2d89df28a6c5765b167e9ffbb441f4ec8143008212
good/tutorial/084_Prod.snd.ndjson,accept,3634939,1561754,163740912,2.3274721883215923,0.022199332809383642,17996,39528,66084,7c9951ed92178b60820ebaac2a1deb69ae650aa1f7bbbf84e05b32238af7557a
good/tutorial/085_PProd.snd.ndjson,accept,3441062,1518981,163743371,2.2653752746084383,0.02101496982128211,17984,44452,66188,206132d26ab0a1f34d2dce5a7e1881e745a113e59faf5bdfcf74d308aa462256
good/tutorial/086_PSigma.snd.ndjson,accept,3898135,1665080,164144742,2.3411097364691185,0.023748156367993805,18088,46392,66104,915270c38f148d3de02b357e8cad6913b3ab1ab7ac611a53e45a649aaac5544e
good/tutorial/089_projProp1.ndjson,accept,5009160,2004023,165495607,2.4995521508485683,0.030267631212712493,18032,50576,66136,9102fd7c60e2796c11b8ecaa208363c3095ac324d3cf3f3c29ec82c67bfa401e
good/tutorial/091_projProp3.ndjson,accept,4982583,1996283,165497388,2.495930186251148,0.030106716850419414,17984,49784,66176,e32c2399717e657b1f24296ee1a5e78a9592d8f90ca84a6a6a104395ef06ddf1
good/tutorial/095_projDataIndexRec.ndjson,accept,4032766,1748407,164605858,2.306537322259634,0.024499529050782627,17952,49752,66164,b416173b8862d956e302ece51bdf2ed5dbf1e519ac3c709f2d1d2b5400d88b80
good/tutorial/098_projRed.ndjson,accept,5673367,2213948,166317163,2.562556573144446,0.03411173505887664,18012,50512,66120,ee406aec30851a1bd7f8a491c13ccb54712f198f2951ed518b47de95cbf42d70
good/tutorial/099_ruleK.ndjson,accept,4114300,1737696,164668827,2.367675358635803,0.024985299737393527,18112,47724,66884,9c06a9ca2b5d6dadc1575796a858d5285695d4401cceaaf77d9c26fbc426f1da
good/tutorial/102_aNatLit.ndjson,accept,2634070,1265174,162909379,2.081982399258916,0.0161689278798368,18060,45680,66908,d275cb43710dcb6df9e08de59e66e84cb4fc1eb71382c8f33308b838056e87be
good/tutorial/103_natLitEq.ndjson,accept,4206903,1764334,164474767,2.3844141755472603,0.025577801852122398,18096,43596,66184,749491a9044aa7df27cbc7afa32d08dc4d5feaea1eb19c28cd98790d7db8adf8
good/tutorial/104_proofIrrelevance.ndjson,accept,3516689,1453815,163883667,2.4189384481519314,0.021458447106873682,18080,44360,66136,f98c56cc9577ce1e3bac4dd0b6a49593924d5953f45dd2d25c44a84971d3bcea
good/tutorial/106_proofIrrelevanceWhnf.ndjson,accept,3840764,1524103,164150677,2.520016035661632,0.02339779567281346,17976,43592,66192,724ea566fd355aa187a5fe00efddff4b41df00951e7e4363f323f11853888d71
good/tutorial/107_unitEta1.ndjson,accept,3888706,1548848,164429631,2.510708604072188,0.023649666890026653,18128,23844,66184,eb25dbed39c8c19e6c1ea7b7c0332941e0249c96154bff155f8805d04151da78
good/tutorial/108_unitEta2.ndjson,accept,3937620,1591118,164307869,2.4747504584826516,0.023964889959104757,18044,45668,65704,0102ea0fac3148dfcd800dcccd53237b3dd196186659a3d811761da4bedbc91f
good/tutorial/109_unitEta3.ndjson,accept,3948680,1620132,164333222,2.4372581987146726,0.024028494980765362,18064,47724,66176,22a713f36ca06b000c93140a92e9a5e2c85abb769924764b3f1e764cb199be0b
good/tutorial/111_structEta.ndjson,accept,7151150,2632945,167782156,2.7160271103270293,0.04262163611725194,18116,50524,66844,e47bd6975be97f3218b31e85071af1e0cec4279f5a6478abb12e3e1c574c35c2
good/tutorial/113_funEta.ndjson,accept,3741765,1503340,164081182,2.488967898146793,0.022804351811653818,17904,45680,66196,f4e38147fd95133f0ce4bf66dbb9c433704df341f4732012ca1b7d26e1246225
good/tutorial/114_funEtaDep.ndjson,accept,3726910,1493452,164167580,2.4955003575608723,0.022701863546992652,18064,43584,66164,28a07e484e8720dfc991c1074a3881d1c16ead16b75c9a8743c1cd46a21bec5d
good/tutorial/120_reduceCtorParamRefl.mk.ndjson,accept,3705091,1528534,163727191,2.4239506612217983,0.022629662045567007,18084,43620,66116,0289b5264d284c7c2b61033465d39461ddce70a0cdd909ee658d85bf10f544ee
good/tutorial/121_reduceCtorParamRefl2.mk.ndjson,accept,3680628,1530997,163724405,2.4040726402468455,0.02248063140006525,18004,43652,66140,8997c0d3a515185fb3518393dbe78e44471455f622ac7bf9e82c68bff51bb2cd
good/tutorial/122_rTreeRec.ndjson,accept,3679248,1642715,164055274,2.239736046727521,0.022426880345218284,18064,49760,66160,6207d2f2f68b24ff37fba20c4ac3849571deb8d3105bc9cefd37ba4f28dc2d7f
good/tutorial/123_rtreeRecReduction.ndjson,accept,5976381,2283560,166662135,2.6171333356688677,0.03585926101330695,18004,47712,66884,1d4eacdbbdbe3edc8ea1faf3526eef09beadbbd2843b5dba67262f405b781330
good/tutorial/124_accRecType.ndjson,accept,6040282,2358618,165497007,2.5609411952253396,0.036497832253848554,18072,45728,66104,d94022372034a2e572249b9704b812beb90a5437a660bda59fd7439d61d55da7
good/tutorial/125_accRecReduction.ndjson,accept,8911068,3180273,168968578,2.8019820939900444,0.05273801854448938,18072,52572,66296,3ea1584059e9bb2ed3f9dbea8e58c9c6f78592f80a20c5cb159ae92bb9079f7f
good/tutorial/127_quotMkType.ndjson,accept,4504976,1825855,164296596,2.4673240755700756,0.027419776852832665,18000,47704,66144,b160ff5b97509ad3029f1895bfe1153f9e03f1a33c99ec50ee1bb87d3406f69d
good/tutorial/128_quotIndType.ndjson,accept,5001686,1838510,164383556,2.7205106308913196,0.030426924211324397,17976,45648,66176,997935987ef6b1920cc0065465ccb50eb1668bf69159eebbd58dd88b6dc2e2fb
good/tutorial/129_quotLiftType.ndjson,accept,4691773,1916006,164398153,2.448725630295521,0.028539085837539793,18052,41612,66116,317a04eff4dabf9edf601736e243d2788aeaa2d7972099dff4bb777b4f51fc3f
good/tutorial/130_quotSoundType.ndjson,accept,4990587,1992351,164772766,2.504873388273452,0.030287693295140777,18148,45696,66124,38c9bdfaaf1e3cd494a7725a4eb9bc231d5ce61f097a5b98e38c469799f7400f
good/tutorial/131_quotLiftReduction.ndjson,accept,5362183,2047301,165381218,2.6191473554694693,0.03242316790773666,18112,43612,66160,ae980cf502f90c84131b1705850c1acf18a969fdc1fe511b9b8eb769adbd79c8
good/tutorial/132_quotIndReduction.ndjson,accept,5219448,2043646,165280852,2.553988313044431,0.03157926606041455,17396,43672,66192,0053779f82af2dfc35cd6c866a66be4496008589b11c22e6b80e91835957bedd
