stream,verdict,fortran_instructions,nanoclo_instructions,official_instructions,fortran_over_nanoclo,fortran_over_official,fortran_peak_rss_kib,nanoclo_peak_rss_kib,official_peak_rss_kib,sha256
bad/tutorial/019_tut06_bad01.ndjson,reject,1415595,1012981,161902472,1.3974546413012683,0.008743504546366654,18116,25160,67716,9c5c0329065ef0b470c7b43a365c30a0098697dbeb8d69f2c2bea2e345ab9533
bad/tutorial/046_inductBadNonSort.ndjson,reject,1754634,1107100,162649686,1.5848920603378196,0.010787810558699757,17968,38192,67692,372f6a167433b45749fa38f14ad3a2e8ca4e0dae8762812c0b9f288e9f68499f
bad/tutorial/047_inductBadNonSort2.ndjson,reject,1600109,1148118,162215342,1.3936799179178447,0.009864103976059182,18068,27236,66360,95836e7bee5fbd00d1d16d88cea2defa8dfb2387fc0e400d200b59715716a0d9
bad/tutorial/048_inductLevelParam.ndjson,reject,1435146,1056999,162002840,1.3577553053503362,0.00885877062402116,18056,39512,60800,732e2fc946ab308a819366bc5395865a69235098e1a401ec1a059d05d89ef06e
bad/tutorial/049_inductTooFewParams.ndjson,reject,1540789,1109101,161978685,1.3892233439515427,0.009512294781254706,18040,37484,60812,5d54c2cc017f35b26744f8b5ca4438bdddd8f254f3023948a542b70e5da72827
bad/tutorial/050_inductWrongCtorParams.ndjson,reject,1826249,1193074,162259705,1.530708908248776,0.011255098731998803,18028,43608,64900,20214ec1a31221884548d3e91b689b9569fd7588af2fb0e219754b683041ac10
bad/tutorial/051_inductWrongCtorResParams.ndjson,reject,1947539,1230206,162311533,1.583099903593382,0.011998771522908357,18164,39520,64892,5506566449cc2f3c83f417007bf15a7a0101c458c450d77a23cfd4c2423910c4
bad/tutorial/052_inductWrongCtorResLevel.ndjson,reject,1979418,1237499,162350521,1.5995309895199916,0.01219224913974868,18112,40312,61956,3f29bd3a753caa056cc45c20cd8aeb734bc44cfc6b3828a6c6ec855737f596f3
bad/tutorial/053_inductInIndex.ndjson,reject,1763474,1178794,162234900,1.4959984526558499,0.010869880648368508,18008,33368,66996,8dc9a9997862a5f25b76520f5d69a146664ad9f0364dd350732a7f76e4190763
bad/tutorial/054_indNeg.ndjson,reject,1595031,1076091,162217399,1.4822454606534206,0.009832675223697799,18144,27944,66260,89592d2e05e7ea518cf550eb18b99d1172b63b96b90abf1454b7102300eda843
bad/tutorial/056_reduceCtorType.mk.ndjson,reject,2062991,1200965,162411062,1.717777787029597,0.012702281326132821,18116,33432,66904,bd087620c8685a48789b4bf46c373f4c81475b6d1c3b6081cf16d83a4a216a26
bad/tutorial/057_indNegReducible.ndjson,reject,1971125,1139877,162574882,1.7292435938263515,0.01212441292130232,17268,37452,66200,c573634d126fe5c386474f89e2993cc97888af3ce0efcab176887751ea36643f
bad/tutorial/061_typeWithTooHighTypeField.mk.ndjson,reject,1722313,1159049,162178099,1.4859708260824176,0.01061988647431365,18124,37428,66192,d2ab0a56844b0739dd5b75d35894eca8766a7c41b8097873ba018d341622c70d
bad/tutorial/073_BogusRecursor.ndjson,reject,2081419,1330602,162588515,1.5642686543384123,0.012801759091040348,17260,37472,66944,7f166e26d8b79ca496b066644bbe199faefa4c5fb3c6ded01e35ff4ec628a309
bad/tutorial/087_projOutOfRange.ndjson,reject,3261524,1547522,163766656,2.1075784383033005,0.0199156780730749,18056,33344,67008,5db4d2e7e00fe46443daade14664b6227b8e55e8dca58791d7d551242caf5b86
bad/tutorial/088_projNotStruct.ndjson,reject,2864846,1467506,163491450,1.952186907583342,0.017522910219464075,17972,42308,66964,2ddb5f53a6f8b459b7dd6c2daa9bb794613295dccec07999573b2c99cc9cb076
bad/tutorial/090_projProp2.ndjson,reject,5141083,2221820,165873873,2.31390616701623,0.030993928742472903,17976,45644,66184,44b31dd5644566e41670210e8584792b2819f9b64bb8d356948cdee674e82906
bad/tutorial/092_projProp4.ndjson,reject,5131160,2189769,165930925,2.3432425977351947,0.030923470112638737,18028,43668,66208,1dbc013754ba41dae8c0449252708027e7f59fd8523d0896f2c8aae65d942b29
bad/tutorial/093_projProp5.ndjson,reject,5435193,2118496,166150873,2.565590399981874,0.03271239507721395,18020,41632,67664,9ca0433a35a24516035c5be845c2f0c0fbc78231b1e2625797ee01da9271b2d0
bad/tutorial/094_projProp6.ndjson,reject,5089636,2122844,165924281,2.397555354986047,0.030674449630431123,18064,38212,67692,38567094775dea24a0742cc4fceec671ef17a3825574326d1290bafa02166f84
bad/tutorial/096_projIndexData.ndjson,reject,3987669,1843957,165015515,2.162560732164579,0.024165418627454516,17964,30020,66188,96d23422f47630509730fc9fee4c87a79bd300d3edb15626e68c1604f7e6798e
bad/tutorial/097_projIndexData2.ndjson,reject,3978226,1852583,165036614,2.1473942058196585,0.02410511160874883,18104,37504,66964,0536b5c0a55c24e69dbcd5734c31404de3e5d28c8469a72e2d593694fb10ffcf
bad/tutorial/100_ruleKbad.ndjson,reject,4918847,1873737,169561841,2.625153369976683,0.029009162503726295,17968,30028,68476,cf80eb3fa8d1cffc0a17c46730b20166688ea8346e299b19e3036cfc6462c4cf
bad/tutorial/101_ruleKAcc.ndjson,reject,11459878,3185846,175257501,3.5971223970022406,0.06538880181796042,17976,49800,67740,0a053ed771c6f0c171d231137f8000efe5f48f8d5d30cfd9863fe44e55a1d4d2
bad/tutorial/105_proofIrrelevanceBad.ndjson,reject,5658150,1596371,165974479,3.5443828533592754,0.034090482067426764,18088,23844,66956,9423911316ad18c0ec158f1f004f9e79c3a0f9580bb6a1a0f798cf04066e5a27
bad/tutorial/110_indexedUnitEta.ndjson,reject,4884151,1986126,168079691,2.4591345161384526,0.029058543426284618,17292,49756,66956,f1b07164d2f71bbeb2de6af4e9163c4b1bcceb4751e89b4b0dc2e0faa40c5d1d
bad/tutorial/112_indexedStructEta.ndjson,reject,9867191,2143645,168624072,4.602996764856122,0.05851590987554849,18088,45732,66972,0962411896c8365fc85581c7e64f3f4ece34399be025be408b43003d71a0400d
bad/tutorial/115_funEtaBad.ndjson,reject,5933718,1612300,167972187,3.680281585312907,0.03532559827895793,18184,35416,66932,55235f26d78f88177dcfd394ea5fcba4ff213cb5b1a515b8eb3fbba2c87bacce
bad/tutorial/116_etaRuleK.ndjson,reject,6921493,1863052,171584750,3.715136775570408,0.040338625664576834,16604,41564,67712,19c222eee927950779cfe70b2c4145d76723efb61abb174dfdf68d96fb33513b
bad/tutorial/117_etaCtor.ndjson,reject,7773497,2156705,169302963,3.6043394901017987,0.0459147132587396,16524,47732,67768,36d8dd6ecfdc7cc5edea65e8087edab7c9fbc86113cc8550df87addb546eba76
bad/tutorial/118_reflOccLeft.ndjson,reject,2886107,1482207,163473690,1.9471686478339396,0.017654871557618843,18012,35400,66196,d26c150c31cc883d135ab9de30f06ad8ff3e1f7f6cba86035585eacd829afefc
bad/tutorial/119_reflOccInIndex.ndjson,reject,5388880,1616052,164454712,3.3345956689512466,0.032768170242516374,18076,43668,66948,4bb99bd31dd9c65f772e5e0e10124f8c1e4c228d103b1c03f1dd04b2767c4ff5
bad/tutorial/126_accRecNoEta.ndjson,reject,11589940,3092598,175276319,3.747638716703561,0.06612382132465938,17208,39516,66988,29935bfbbb964aaaaf8fc4b0e88544dfdd1cac36418570d0e20f963b11e2d09e
bad/tutorial/133_dup_defs.ndjson,reject,1017865,688738,160318963,1.4778696688726338,0.006348999400651064,14900,18032,66108,0d69ddde24113c345588219b0053ca8a0370e18ba18872ce59803f4895463a03
bad/tutorial/134_dup_ind_def.ndjson,reject,1252363,776971,160706636,1.611852952040681,0.0077928518147813135,18100,17860,66180,24ef675eb2b35eafac11730c3c0b76b349e6104966490909da70e6673f07a8d6
bad/tutorial/135_dup_ctor_def.ndjson,reject,1260550,775251,160710959,1.6259895182334496,0.00784358458093701,17932,18052,62704,dff7c8164ca15c5cd7cf784219a7b281cf0405db9f23f362bbeee9b0f14560d3
bad/tutorial/136_dup_rec_def.ndjson,reject,1278522,778654,160718529,1.6419642100342386,0.007955037965784268,18088,18172,66932,880f65f624c66018509b6153a165d08c252bda2033242a81f76f346dcee835d2
bad/tutorial/137_misnamed_rec_user.ndjson,reject,2067303,1361274,162599447,1.5186531146558298,0.012714083830801713,17364,43632,66980,c8c5e111f5b41c34237cafb1ead3d43fae8e51d72d4a62eb61a8c0e71a09a048
bad/tutorial/138_dup_rec_def2.ndjson,reject,10819315,1300722,162478683,8.317930349452073,0.06658913526520892,18108,35476,66948,d45f500e2a803ec48ea904f9b82e8eee77e2abaca64b2ddd06d29c39bb481033
bad/tutorial/139_dup_ctor_rec.ndjson,reject,1245273,767885,160665651,1.621692050241898,0.007750710822439577,18148,18088,66112,5709aea1eabc2b3ba1a78b091966b018dcae2aa1c439ed0f1832d142cdd630df
bad/tutorial/140_DupConCon.ndjson,reject,1367846,792263,160889377,1.7265049611050876,0.00850177945558208,18016,18112,66880,e847fd8d2d6062ef6fa2d84ebe10474174689d9f074c2ac2b208ad08ddebadcb
bad/tutorial/141_falseFromUnsafe.ndjson,reject,1181125,764561,162299690,1.5448407648310598,0.007277432261269261,17208,18040,61732,ef646a5368b95ad4021069a0c9906a6b5e11c0abcfd22673821e6bd20f26e0a8
bad/tutorial/142_falseFromPartial.ndjson,reject,1181383,764051,162306189,1.5462096116620487,0.007278730449397712,18056,18036,64048,cd249a6f8e59fa74e15b325996a9c786a17936993dfddb6e5bc2335914af31fd
good/cedar.ndjson,accept,837621580640,295240628365,797735278326,2.837081011778858,1.0499994213590491,3147372,1464404,1422028,f8d47c6fbda4515cdd168eea29a2d9f49433f421e15d8c58133462d626508539
good/con-leche.ndjson,accept,633440846637,264592639241,669649930995,2.3940229344779334,0.9459283385511611,2570936,1163704,888868,bf47023cfd2986e67e77095eb7209c58a37ac4e7db649fd7ce5b38da73feb316
good/corner-cases/proof-param-ok.ndjson,accept,7432745,1297476,162917321,5.7286184869700865,0.04562280397429319,16520,36152,66176,7f9b3c07a64b441f8dd0f7dd2912274241fdb17118953fb089f796fdd1590af4
good/cslib.ndjson,accept,2083651705256,781107470725,2426653047040,2.667560845784791,0.8586524999103647,6909608,3364432,3231832,c636b50ee32aed97fa728f3576cbff5663f1f7807c560663b6d7c3722045c58f
good/init-prelude.ndjson,accept,1659001050,537878525,2156330907,3.0843414876992905,0.7693629232018423,18016,90876,74360,fc440bd35aa4ecb244836eef0c2e31c578ac4460f42665f4e8305cbc2cd2104d
good/init.ndjson,accept,322754986181,121692660910,366947980278,2.6522140593153702,0.8795660516689059,999384,620828,548816,02a2260b17c8e5be2eb0463c7d3131c35889337b51817f56756faee1241b7b91
good/level-index-out-of-order.ndjson,accept,2096465,848767,161676482,2.470012382668035,0.012967037469308615,18040,37416,66168,7db8148079e2e8160a1a4c71258ad11b17ce18edfa84ab1e12eae937ec9538d1
good/mathlib.ndjson,accept,7560453966963,2827610926587,11829827090895,2.6737957106739096,0.6391009698512005,14990840,6849744,7974780,ca2ec20fd063b61e71867b2975c81bd989af9f879b4886b8f08cd23c767a47bb
good/perf/app-lam.ndjson,accept,395721431,73466996,29184473145,5.386383717118364,0.013559313852742843,27740,84676,1457668,3f7b7a595dc29b0e289c9031c4edaef42d0e12b8aee3cbb48cf15cb715adc09a
good/perf/args-before-unfold.ndjson,accept,50919179,13212285,212342738,3.853926781022359,0.23979712929951955,18084,50788,66096,11844c0ce9aa3ac50be0ae85c0138b1efeb909b913108b532573433254e89b0d
good/perf/beta-ladder.ndjson,accept,165793445,35909184,10045683309,4.617020676381841,0.016503948999812133,18144,72336,513464,0b17ce0ad997f3443a7549d5c2fe062bc6d592ad89ecc00ecedd5a91834f15a1
good/perf/church-numerals.ndjson,accept,142512458,36418829,278160705,3.913153220824316,0.5123385706115463,20032,52212,79088,1234703fc7082cdf99eaf7ecd18fe09f1e11191c9c5b4ffcc5c159c50595927a
good/perf/discarded-argument-match.ndjson,accept,30627306,12363613,745840738,2.477213254733871,0.04106413667095776,18184,50796,69596,b57411e156c572e2b0e4bd25033fb0f689198d684715600ac7f855cccca1edca
good/perf/discarded-argument.ndjson,accept,21839735,10442562,986339831,2.0914154016993147,0.02214220121056837,18060,43612,66196,8d3448f9d00a00f40b34b11ec17d5abe230f76c2578c37fd735dfaf914707bd2
good/perf/folded-constant-first.ndjson,accept,72578391,19846837,240616775,3.656924828878274,0.30163479250355674,18156,54856,68356,22cd194a4e1142b0790776f01292108301b078d9e6b7a20a6a9227e55b61715c
good/perf/folded-constant-last.ndjson,accept,72442969,19915983,240619861,3.63742874253307,0.3010681192272819,18056,61044,68380,2e7b6fc088f09ed018066a524894258498c7e57fbcde04852920c18838386854
good/perf/fueled-chain.ndjson,accept,380498669,127709880,605548733,2.9793988452577045,0.6283535052826211,17920,99220,75700,b4bcef85caa20a9f80c390f2415fae9ddb28966c8da64a2e03fc6ec72c1d041d
good/perf/grind-ring-5.ndjson,accept,11337451061,4084450460,12904366692,2.775759229308904,0.8785747748495553,312908,264956,234852,f0fd36e8ad0f6e224c4be968a991d4f0643280230abe0275578e018aff0ac0f8
good/perf/identical-nesting.ndjson,accept,5021874,1854595,165641165,2.7078008945349255,0.030317789662974177,18132,36200,66104,38da6395264b5761687f5a3e7c2444b96eb59b095d7dc0ba368f39415ebf8b69
good/perf/irrelevance-before-evaluation.ndjson,accept,8038222,2473230,169691367,3.2500907719864305,0.04736965788012068,17992,44380,66180,f79e283acead6adf345f3139e3c15d754867efe27ffafc1c8dedc7035b9ca04d
good/perf/let-ladder.ndjson,accept,148466303,30845139,6074624680,4.813280400519512,0.024440407567698486,18088,58016,326628,b7f15b7399cd86b2a7c8b5c0c72d395a7cfc37a949d7e49520fd354dc4842305
good/perf/magma-list-deep-n21.ndjson,accept,8071594123,3632753351,13545636102,2.221894343797964,0.5958815121135757,456244,374432,570156,2283048c8f82883fd5a7a59a20601b58256568c82561dff3304f38ad4d57fc75
